Delta,Latency,Num_of_topics
0.101,0.28175950050354004,13
0.1,0.3457512855529785,13
0.1,0.2996551990509033,13
0.099,0.28083324432373047,13
0.101,0.18193769454956055,13
0.1,0.2908482551574707,13
0.1,0.3382992744445801,13
0.099,0.3038594722747803,13
0.1,0.28568172454833984,13
0.101,0.1766984462738037,13
0.1,0.3421037197113037,13
0.1,0.33255505561828613,13
0.1,0.3016679286956787,13
0.1,0.2857372760772705,13
0.1,0.386455774307251,13
0.1,0.2823338508605957,13
0.101,0.34784889221191406,13
0.099,0.3019886016845703,13
0.1,0.2888834476470947,13
0.099,0.17706751823425293,13
0.101,0.2805507183074951,13
0.1,0.3385913372039795,13
0.1,0.30399346351623535,13
0.1,0.2843515872955322,13
0.099,0.23488974571228027,13
0.101,0.3367428779602051,13
0.1,0.35973119735717773,13
0.1,0.27548861503601074,13
0.1,0.2632167339324951,13
0.1,0.2158961296081543,13
0.1,0.26169800758361816,13
0.1,0.33009886741638184,13
0.1,0.2914268970489502,13
0.1,0.2882571220397949,13
0.099,0.24353289604187012,13
0.101,0.34551000595092773,13
0.1,0.35669469833374023,13
0.1,0.2723391056060791,13
0.1,0.25214719772338867,13
0.1,0.20861482620239258,13
0.1,0.26746249198913574,13
0.1,0.3305175304412842,13
0.1,0.2952284812927246,13
0.1,0.2712116241455078,13
0.1,0.20731067657470703,13
0.1,0.3172187805175781,13
0.1,0.3677356243133545,13
0.1,0.2894093990325928,13
0.099,0.26525068283081055,13
0.1,0.2501640319824219,13
0.101,0.3014998435974121,13
0.1,0.3568742275238037,13
0.1,0.2787058353424072,13
0.099,0.2809321880340576,13
0.1,0.19524168968200684,13
0.101,0.27251124382019043,13
0.1,0.3286604881286621,13
0.1,0.29708003997802734,13
0.1,0.2751634120941162,13
0.1,0.1765146255493164,13
0.1,0.2942972183227539,13
0.099,0.33400559425354004,13
0.101,0.31941938400268555,13
0.1,0.3086888790130615,13
0.1,0.17902517318725586,13
0.1,0.2785935401916504,13
0.1,0.33881521224975586,13
0.1,0.30128049850463867,13
0.101,0.2812623977661133,13
0.099,0.17591118812561035,13
0.1,0.27930498123168945,13
0.1,0.3377647399902344,13
0.1,0.3094334602355957,13
0.1,0.2819845676422119,13
0.099,0.17669296264648438,13
0.102,0.2790243625640869,13
0.099,0.33626890182495117,13
0.1,0.30109071731567383,13
0.099,0.2796947956085205,13
0.101,0.17403292655944824,13
0.1,0.2747793197631836,13
0.1,0.3377039432525635,13
0.1,0.3023512363433838,13
0.1,0.28725528717041016,13
0.1,0.2388920783996582,13
0.1,0.3066728115081787,13
0.1,0.3228161334991455,13
0.1,0.2883427143096924,13
0.099,0.26529717445373535,13
0.101,0.1772139072418213,13
0.101,0.2786061763763428,13
0.099,0.3604433536529541,13
0.1,0.3040013313293457,13
0.1,0.2851297855377197,13
0.1,0.23876523971557617,13
0.1,0.3045172691345215,13
0.1,0.3327600955963135,13
0.099,0.35108184814453125,13
0.1,0.2596564292907715,13
0.101,0.1892545223236084,13
0.1,0.2675600051879883,13
0.099,0.3281686305999756,13
0.101,0.29427671432495117,13
0.1,0.2756009101867676,13
0.099,0.23416900634765625,13
0.101,0.30304837226867676,14
0.1,0.31837964057922363,14
0.1,0.283160924911499,14
0.101,0.26319456100463867,14
0.1,0.22011446952819824,14
0.099,0.2985422611236572,14
0.1,0.3264634609222412,14
0.1,0.291839599609375,14
0.1,0.2720150947570801,14
0.099,0.17773151397705078,14
0.101,0.2796201705932617,14
0.1,0.33934521675109863,14
0.1,0.2984905242919922,14
0.101,0.29258060455322266,14
0.099,0.1738429069519043,14
0.1,0.27581000328063965,14
